Timestamp,voltage_1,voltage_2,voltage_3
42669.6768408136,0.197796,0.000291,0.219442
42669.6768408252,0.197483,-0.000958,0.222566
42669.6768408367,0.197483,-0.000334,0.220379
42669.6768408483,0.197483,-0.000646,0.220691
42669.6768408599,0.198108,-2.2e-05,0.220067
42669.6768408714,0.198108,-0.000334,0.222879
42669.676840883,0.197483,-0.000646,0.222254
42669.6768408946,0.197796,-2.2e-05,0.222254
42669.6768409062,0.197483,-0.000334,0.222254
42669.6768409178,0.197796,-2.2e-05,0.219129
42669.6768409293,0.197483,-0.000334,0.217567
42669.6768409409,0.19717,-0.000646,0.217254
42669.6768409525,0.197483,-0.000958,0.219442
42669.6768623525,0.197796,-2.2e-05,0.222879
42669.676862364,0.198108,-0.001271,0.227879
42669.6768623756,0.197483,-0.000958,0.221941
42669.6768623872,0.19717,0.000603,0.215067
42669.6768623988,0.198421,-0.000334,0.225691
42669.6768624103,0.197796,-0.000334,0.221941
42669.6768624219,0.197483,-0.000334,0.220379
42669.6768624335,0.197796,-0.000334,0.217879
42669.6768624451,0.197483,-0.000334,0.217567
42669.6768624566,0.197796,-0.000646,0.218192
42669.6768624682,0.198421,-0.000958,0.225066
42669.6768624798,0.197796,-2.2e-05,0.223191
42669.6768624914,0.197483,-0.000334,0.222254
42669.6768625029,0.197483,-0.000334,0.222566
42669.6768625145,0.197483,-0.000334,0.222879
42669.6768625261,0.197483,-0.000334,0.222879
42669.6768625377,0.197483,0.000291,0.222254
42669.6768625492,0.197796,-2.2e-05,0.221316
42669.6768625608,0.197796,-2.2e-05,0.221941
42669.6768625724,0.197796,-0.000334,0.223504
42669.6768625839,0.197796,-0.000646,0.223816
42669.6768625955,0.19717,0.000291,0.220379
42669.6768626071,0.198108,-2.2e-05,0.221629
42669.6768626187,0.197483,-0.000334,0.222566
42669.6768626303,0.197796,-0.000334,0.222879
42669.6768626418,0.197483,-0.000334,0.222879
42669.6768626534,0.197483,-0.000646,0.221316
42669.676862665,0.197796,-2.2e-05,0.218817
42669.6768626765,0.197483,-2.2e-05,0.217254
42669.6768626881,0.197796,-0.000646,0.219442
42669.6768626997,0.197796,-0.000334,0.219754
42669.6768627113,0.197483,-0.000334,0.219754
42669.6768627228,0.197796,-0.000334,0.222879
42669.6768627344,0.197796,-0.000334,0.223504
42669.676862746,0.197483,-0.000334,0.223191
42669.6768627576,0.197483,-0.000334,0.222879
42669.6768627691,0.19717,-0.000334,0.222879
42669.6768627807,0.197483,-2.2e-05,0.222254
42669.6768627923,0.197483,-0.000334,0.222879
42669.6768628039,0.197796,-0.000334,0.224129
42669.6768628154,0.198421,-0.000646,0.225691
42669.676862827,0.19717,-0.000334,0.219442
42669.6768628386,0.197483,-0.000334,0.221629
42669.6768628502,0.197483,-0.000334,0.221004
42669.6768628617,0.197483,-0.000646,0.222254
42669.6768628733,0.198108,-2.2e-05,0.222879
42669.6768628849,0.198108,-0.000646,0.221004
42669.6768628964,0.197483,-0.000646,0.219754
42669.676862908,0.19717,-0.000646,0.218192
42669.6768629196,0.198108,-0.000646,0.220691
42669.6768629312,0.19717,-0.000646,0.221004
42669.6768629427,0.197483,-0.000334,0.220691
42669.6768629543,0.197483,-2.2e-05,0.222566
42669.6768629659,0.197796,-0.000334,0.222566
42669.6768629775,0.197483,-0.000334,0.222254
42669.676862989,0.19717,-0.000958,0.221941
42669.6768630006,0.197796,-2.2e-05,0.222879
42669.6768630122,0.197483,-0.000646,0.222566
42669.6768630238,0.197483,-2.2e-05,0.223191
42669.6768630353,0.19717,-0.000334,0.222566
42669.6768630469,0.197796,-0.000334,0.222879
42669.6768630585,0.197796,-0.000646,0.224129
42669.6768630701,0.197796,-0.001271,0.225379
42669.6768630816,0.197796,-0.000646,0.222254
42669.6768630932,0.197796,-0.000646,0.222879
42669.6768631048,0.197796,-0.000334,0.221316
42669.6768631164,0.197796,-0.000334,0.219442
42669.6768631279,0.197796,-0.000334,0.217879
42669.6768631395,0.197796,-0.000646,0.218817
42669.6768631511,0.197796,0.000291,0.220379
42669.6768631627,0.196858,-0.000334,0.220379
42669.6768631742,0.197796,-0.000334,0.223191
42669.6768631858,0.19717,-0.000646,0.222879
42669.6768631974,0.19717,-0.000334,0.222254
42669.676863209,0.197483,-0.000334,0.222566
42669.6768632205,0.197483,-0.000334,0.222566
42669.6768632321,0.197796,-0.000646,0.222254
42669.6768632437,0.197483,-2.2e-05,0.222566
42669.6768632552,0.197483,-2.2e-05,0.221941
42669.6768632668,0.197796,-0.000334,0.221941
42669.6768632784,0.19717,-0.000646,0.219754
42669.67686329,0.198108,-2.2e-05,0.222254
42669.6768633015,0.198108,-0.000958,0.225379
42669.6768633131,0.197483,-0.000646,0.222879
42669.6768633247,0.197796,-0.000334,0.222566
42669.6768633363,0.197796,-0.000334,0.222566
42669.6768633478,0.197483,-2.2e-05,0.219754
42669.6768633594,0.197483,-0.000334,0.216317
